Date,Amount
1991-02-08,138
1991-02-15,138
1991-02-22,242
1991-03-01,242
1991-03-08,167
1991-03-15,167
1991-03-22,167
1991-03-29,167
1991-04-05,122
1991-04-12,122
1991-04-19,122
1991-04-26,122
1991-05-03,127
1991-05-10,127
1991-05-17,127
1991-05-24,127
1991-05-31,127
1991-06-07,156
1991-06-14,156
1991-06-21,156
1991-06-28,156
1991-07-05,115
1991-07-12,115
1991-07-19,115
1991-07-26,115
1991-08-02,126
1991-08-09,126
1991-08-16,126
1991-08-23,126
1991-08-30,126
1991-09-06,73
1991-09-13,73
1991-09-20,73
1991-09-27,73
1991-10-04,145
1991-10-11,145
1991-10-18,145
1991-10-25,139
1991-11-01,139
1991-11-08,139
1991-11-15,139
1991-11-22,139
1991-11-29,140
1991-12-06,120
1991-12-13,120
1991-12-20,120
1991-12-27,117
1992-01-03,130
1992-01-10,130
1992-01-17,130
1992-01-24,129
1992-01-31,129
1992-02-07,145
1992-02-14,145
1992-02-21,145
1992-02-28,137
1992-03-06,144
1992-03-13,144
1992-03-20,144
1992-03-27,138
1992-04-03,137
1992-04-10,137
1992-04-17,137
1992-04-24,127
1992-05-01,127
1992-05-08,126
1992-05-15,126
1992-05-22,126
1992-05-29,126
1992-06-05,108
1992-06-12,108
1992-06-19,108
1992-06-26,108
1992-07-03,120
1992-07-10,120
1992-07-17,120
1992-07-24,117
1992-07-31,117
1992-08-07,106
1992-08-14,106
1992-08-21,106
1992-08-28,105
1992-09-04,116
1992-09-11,116
1992-09-18,116
1992-09-25,117
1992-10-02,119
1992-10-09,119
1992-10-16,119
1992-10-23,115
1992-10-30,115
1992-11-06,111
1992-11-13,111
1992-11-20,111
1992-11-27,111
1992-12-04,121
1992-12-11,121
1992-12-18,121
1992-12-25,121
1993-01-01,121
1993-01-08,114
1993-01-15,114
1993-01-22,114
1993-01-29,114
1993-02-05,119
1993-02-12,119
1993-02-19,119
1993-02-26,110
1993-03-05,109
1993-03-12,109
1993-03-19,109
1993-03-26,109
1993-04-02,108
1993-04-09,108
1993-04-16,108
1993-04-23,108
1993-04-30,111
1993-05-07,109
1993-05-14,109
1993-05-21,109
1993-05-28,109
1993-06-04,110
1993-06-11,110
1993-06-18,110
1993-06-25,103
1993-07-02,104
1993-07-09,104
1993-07-16,104
1993-07-23,104
1993-07-30,107
1993-08-06,108
1993-08-13,108
1993-08-20,108
1993-08-27,112
1993-09-03,107
1993-09-10,107
1993-09-17,107
1993-09-24,107
1993-10-01,107
1993-10-08,100
1993-10-15,100
1993-10-22,100
1993-10-29,100
1993-11-05,114
1993-11-12,114
1993-11-19,114
1993-11-26,114
1993-12-03,119
1993-12-10,119
1993-12-17,119
1993-12-24,115
1993-12-31,115
1994-01-07,105
1994-01-14,105
1994-01-21,105
1994-01-28,103
1994-02-04,107
1994-02-11,107
1994-02-18,107
1994-02-25,103
1994-03-04,103
1994-03-11,103
1994-03-18,103
1994-03-25,103
1994-04-01,101
1994-04-08,101
1994-04-15,101
1994-04-22,101
1994-04-29,102
1994-05-06,102
1994-05-13,102
1994-05-20,102
1994-05-27,102
1994-06-03,100
1994-06-10,100
1994-06-17,100
1994-06-24,100
1994-07-01,101
1994-07-08,99
1994-07-15,99
1994-07-22,99
1994-07-29,99
1994-08-05,101
1994-08-12,101
1994-08-19,101
1994-08-26,103
1994-09-02,102
1994-09-09,102
1994-09-16,102
1994-09-23,102
1994-09-30,103
1994-10-07,103
1994-10-14,103
1994-10-21,103
1994-10-28,102
1994-11-04,101
1994-11-11,101
1994-11-18,101
1994-11-25,101
1994-12-02,98
1994-12-09,98
1994-12-16,98
1994-12-23,98
1994-12-30,99
1995-01-06,100
1995-01-13,100
1995-01-20,100
1995-01-27,101
1995-02-03,101
1995-02-10,101
1995-02-17,101
1995-02-24,101
1995-03-03,102
1995-03-10,102
1995-03-17,102
1995-03-24,102
1995-03-31,102
1995-04-07,99
1995-04-14,99
1995-04-21,99
1995-04-28,99
1995-05-05,98
1995-05-12,98
1995-05-19,98
1995-05-26,95
1995-06-02,91
1995-06-09,91
1995-06-16,91
1995-06-23,91
1995-06-30,92
1995-07-07,81
1995-07-14,81
1995-07-21,81
1995-07-28,81
1995-08-04,78
1995-08-11,78
1995-08-18,78
1995-08-25,78
1995-09-01,83
1995-09-08,81
1995-09-15,81
1995-09-22,81
1995-09-29,85
1995-10-06,88
1995-10-13,88
1995-10-20,88
1995-10-27,84
1995-11-03,92
1995-11-10,92
1995-11-17,92
1995-11-24,92
1995-12-01,91
1995-12-08,90
1995-12-15,90
1995-12-22,90
1995-12-29,90
1996-01-05,87
1996-01-12,87
1996-01-19,87
1996-01-26,87
1996-02-02,87
1996-02-09,88
1996-02-16,88
1996-02-23,88
1996-03-01,88
1996-03-08,91
1996-03-15,91
1996-03-22,91
1996-03-29,91
1996-04-05,100
1996-04-12,100
1996-04-19,100
1996-04-26,100
1996-05-03,99
1996-05-10,99
1996-05-17,99
1996-05-24,98
1996-05-31,98
1996-06-07,284
1996-06-14,98
1996-06-21,98
1996-06-28,98
1996-07-05,98
1996-07-12,98
1996-07-19,98
1996-07-26,96
1996-08-02,282
1996-08-09,96
1996-08-16,96
1996-08-23,96
1996-08-30,97
1996-09-06,211
1996-09-13,97
1996-09-20,97
1996-09-27,197
1996-10-04,97
1996-10-11,97
1996-10-18,97
1996-10-25,396
1996-11-01,96
1996-11-08,210
1996-11-15,282
1996-11-22,210
1996-11-29,96
1996-12-06,97
1996-12-13,283
1996-12-20,211
1996-12-27,97
1997-01-03,98
1997-01-10,284
1997-01-17,212
1997-01-24,398
1997-01-31,99
1997-02-07,235
1997-02-14,99
1997-02-21,99
1997-02-28,98
1997-03-07,98
1997-03-14,98
1997-03-21,98
1997-03-28,99
1997-04-04,99
1997-04-11,99
1997-04-18,99
1997-04-25,99
1997-05-02,102
1997-05-09,102
1997-05-16,102
1997-05-23,102
1997-05-30,102
1997-06-06,102
1997-06-13,102
1997-06-20,102
1997-06-27,102
1997-07-04,102
1997-07-11,102
1997-07-18,102
1997-07-25,102
1997-08-01,102
