Date,Amount
1991-02-08,948.0
1991-02-15,948.0
1991-02-22,1026.0
1991-03-01,1026.0
1991-03-08,691.0
1991-03-15,691.0
1991-03-22,691.0
1991-03-29,691.0
1991-04-05,627.0
1991-04-12,627.0
1991-04-19,627.0
1991-04-26,627.0
1991-05-03,638.0
1991-05-10,638.0
1991-05-17,638.0
1991-05-24,638.0
1991-05-31,638.0
1991-06-07,750.0
1991-06-14,750.0
1991-06-21,750.0
1991-06-28,750.0
1991-07-05,652.0
1991-07-12,652.0
1991-07-19,652.0
1991-07-26,652.0
1991-08-02,750.0
1991-08-09,750.0
1991-08-16,750.0
1991-08-23,750.0
1991-08-30,750.0
1991-09-06,652.0
1991-09-13,652.0
1991-09-20,652.0
1991-09-27,652.0
1991-10-04,757.0
1991-10-11,757.0
1991-10-18,757.0
1991-10-25,754.0
1991-11-01,754.0
1991-11-08,731.0
1991-11-15,731.0
1991-11-22,731.0
1991-11-29,762.0
1991-12-06,743.0
1991-12-13,743.0
1991-12-20,743.0
1991-12-27,786.0
1992-01-03,716.0
1992-01-10,716.0
1992-01-17,716.0
1992-01-24,749.0
1992-01-31,749.0
1992-02-07,749.0
1992-02-14,749.0
1992-02-21,749.0
1992-02-28,755.0
1992-03-06,802.0
1992-03-13,802.0
1992-03-20,802.0
1992-03-27,919.0
1992-04-03,840.0
1992-04-10,840.0
1992-04-17,840.0
1992-04-24,803.0
1992-05-01,803.0
1992-05-08,734.0
1992-05-15,734.0
1992-05-22,734.0
1992-05-29,734.0
1992-06-05,729.0
1992-06-12,729.0
1992-06-19,729.0
1992-06-26,741.0
1992-07-03,732.0
1992-07-10,732.0
1992-07-17,732.0
1992-07-24,747.0
1992-07-31,747.0
1992-08-07,735.0
1992-08-14,735.0
1992-08-21,735.0
1992-08-28,762.0
1992-09-04,762.0
1992-09-11,762.0
1992-09-18,762.0
1992-09-25,782.0
1992-10-02,824.0
1992-10-09,824.0
1992-10-16,824.0
1992-10-23,842.0
1992-10-30,842.0
1992-11-06,789.0
1992-11-13,789.0
1992-11-20,789.0
1992-11-27,768.0
1992-12-04,819.0
1992-12-11,819.0
1992-12-18,819.0
1992-12-25,829.0
1993-01-01,829.0
1993-01-08,875.0
1993-01-15,875.0
1993-01-22,875.0
1993-01-29,874.0
1993-02-05,791.0
1993-02-12,791.0
1993-02-19,791.0
1993-02-26,824.0
1993-03-05,803.0
1993-03-12,803.0
1993-03-19,803.0
1993-03-26,803.0
1993-04-02,770.0
1993-04-09,770.0
1993-04-16,770.0
1993-04-23,770.0
1993-04-30,759.0
1993-05-07,744.0
1993-05-14,744.0
1993-05-21,744.0
1993-05-28,744.0
1993-06-04,784.0
1993-06-11,784.0
1993-06-18,784.0
1993-06-25,796.0
1993-07-02,746.0
1993-07-09,746.0
1993-07-16,746.0
1993-07-23,740.5
1993-07-30,735.0
1993-08-06,737.0
1993-08-13,737.0
1993-08-20,737.0
1993-08-27,704.0
1993-09-03,759.0
1993-09-10,759.0
1993-09-17,778.0
1993-09-24,778.0
1993-10-01,807.0
1993-10-08,758.0
1993-10-15,758.0
1993-10-22,748.0
1993-10-29,748.0
1993-11-05,746.0
1993-11-12,746.0
1993-11-19,746.0
1993-11-26,751.0
1993-12-03,757.0
