Date,Amount
1990-01-05,2212.0
1990-01-12,2333.0
1990-01-19,2746.0
1990-01-26,2113.0
1990-02-02,3233.0
1990-02-09,2656.0
1990-02-16,1858.0
1990-02-23,2583.0
1990-03-02,1286.0
1990-03-09,1713.0
1990-03-16,2099.0
1990-03-23,1684.0
1990-03-30,1954.0
1990-04-06,1658.0
1990-04-13,1463.0
1990-04-20,2276.0
1990-04-27,1727.0
1990-05-04,1901.0
1990-05-11,2392.0
1990-05-18,1660.0
1990-05-25,2710.0
1990-06-01,2172.0
1990-06-08,2417.0
1990-06-15,2541.0
1990-06-22,2263.0
1990-06-29,2168.0
1990-07-06,2076.0
1990-07-13,2134.0
1990-07-20,2077.0
1990-07-27,2288.0
1990-08-03,2098.0
1990-08-10,2144.0
1990-08-17,2831.0
1990-08-24,2015.0
1990-08-31,1798.0
1990-09-07,1873.0
1990-09-14,2225.0
1990-09-21,1544.0
1990-09-28,1918.0
1990-10-05,1383.0
1990-10-12,1604.0
1990-10-19,1484.0
1990-10-26,1741.0
1990-11-02,1765.0
1990-11-09,1778.0
1990-11-16,1697.0
1990-11-23,1866.0
1990-11-30,2172.0
1990-12-07,1791.0
1990-12-14,2203.0
1990-12-21,1582.0
1990-12-28,1978.0
1991-01-04,1375.0
1991-01-11,2070.0
1991-01-18,1428.0
1991-01-25,1740.0
1991-02-01,1607.0
1991-02-08,1335.0
1991-02-15,1046.0
1991-02-22,1287.0
1991-03-01,1205.0
1991-03-08,1697.0
1991-03-15,1129.0
1991-03-22,1353.0
1991-03-29,1453.0
1991-04-05,1831.0
1991-04-12,1259.0
1991-04-19,1842.0
1991-04-26,1915.0
1991-05-03,1794.0
1991-05-10,1975.0
1991-05-17,1575.0
1991-05-24,1788.0
1991-05-31,2172.0
1991-06-07,1475.0
1991-06-14,1896.0
1991-06-21,1678.0
1991-06-28,1963.0
1991-07-05,1648.0
1991-07-12,1290.0
1991-07-19,1889.0
1991-07-26,1379.0
1991-08-02,1757.0
1991-08-09,1382.0
1991-08-16,1884.0
1991-08-23,1982.0
1991-08-30,1765.0
1991-09-06,1880.0
1991-09-13,1563.0
1991-09-20,2411.0
1991-09-27,1226.0
1991-10-04,2129.0
1991-10-11,1737.0
1991-10-18,1690.0
1991-10-25,1335.0
1991-11-01,1692.0
1991-11-08,1880.0
1991-11-15,2237.0
1991-11-22,1710.0
1991-11-29,1981.0
1991-12-06,1725.0
1991-12-13,1856.0
1991-12-20,1919.0
1991-12-27,2100.0
1992-01-03,1720.0
1992-01-10,1281.0
1992-01-17,1517.0
1992-01-24,1551.0
1992-01-31,1894.0
1992-02-07,1467.0
1992-02-14,1639.0
1992-02-21,1643.0
1992-02-28,2024.0
1992-03-06,1437.0
1992-03-13,1809.0
1992-03-20,1183.0
1992-03-27,1924.0
1992-04-03,1478.0
1992-04-10,1620.0
1992-04-17,1797.0
1992-04-24,1727.0
1992-05-01,2284.0
1992-05-08,1571.0
1992-05-15,1892.0
1992-05-22,1418.0
1992-05-29,1670.0
1992-06-05,2199.0
1992-06-12,1395.0
1992-06-19,1654.0
1992-06-26,1397.0
1992-07-03,2021.0
1992-07-10,2036.0
1992-07-17,1719.0
1992-07-24,1124.0
1992-07-31,1927.0
1992-08-07,1490.0
1992-08-14,1832.0
1992-08-21,1822.0
1992-08-28,1826.0
1992-09-04,1726.0
1992-09-11,2142.0
1992-09-18,1798.0
1992-09-25,1764.0
1992-10-02,2067.0
1992-10-09,1899.0
1992-10-16,2047.0
1992-10-23,1672.0
1992-10-30,1728.0
1992-11-06,2168.0
1992-11-13,1370.0
1992-11-20,1773.0
1992-11-27,1858.0
1992-12-04,1955.0
1992-12-11,1672.0
1992-12-18,1845.0
1992-12-25,1833.0
1993-01-01,2313.0
1993-01-08,1764.0
1993-01-15,1669.0
1993-01-22,2207.0
1993-01-29,1350.0
1993-02-05,1861.0
1993-02-12,1951.0
1993-02-19,2063.0
1993-02-26,1534.0
1993-03-05,1529.0
1993-03-12,1324.0
1993-03-19,1877.0
1993-03-26,2162.0
1993-04-02,1989.0
1993-04-09,1587.0
1993-04-16,1570.0
1993-04-23,1911.0
1993-04-30,1687.0
1993-05-07,1553.0
1993-05-14,2087.0
1993-05-21,1286.0
1993-05-28,2032.0
1993-06-04,1860.0
1993-06-11,1316.0
1993-06-18,1676.0
1993-06-25,1684.0
1993-07-02,1786.0
1993-07-09,1639.0
1993-07-16,1333.0
1993-07-23,1691.0
1993-07-30,1655.0
1993-08-06,2289.0
1993-08-13,1823.0
1993-08-20,1509.0
1993-08-27,1937.0
1993-09-03,1434.0
1993-09-10,1848.0
1993-09-17,1402.0
1993-09-24,1702.0
1993-10-01,1875.0
1993-10-08,1372.0
1993-10-15,1833.0
1993-10-22,1886.0
1993-10-29,2166.0
1993-11-05,2065.0
1993-11-12,1417.0
1993-11-19,1929.0
1993-11-26,1340.0
1993-12-03,1962.0
1993-12-10,1953.0
1993-12-17,1698.0
1993-12-24,1404.0
1993-12-31,1227.0
1994-01-07,1460.0
1994-01-14,1890.0
1994-01-21,1292.0
1994-01-28,1892.0
1994-02-04,1843.0
1994-02-11,2015.0
1994-02-18,2304.0
1994-02-25,1977.0
1994-03-04,1756.0
1994-03-11,2414.0
1994-03-18,2092.0
1994-03-25,1809.0
1994-04-01,1907.0
1994-04-08,1888.0
1994-04-15,1810.0
1994-04-22,1954.0
1994-04-29,1185.0
1994-05-06,2008.0
1994-05-13,1697.0
1994-05-20,1852.0
1994-05-27,2086.0
1994-06-03,1344.0
1994-06-10,2084.0
1994-06-17,1396.0
1994-06-24,1662.0
1994-07-01,1437.0
1994-07-08,1885.0
1994-07-15,1381.0
1994-07-22,2422.0
1994-07-29,1618.0
1994-08-05,1984.0
1994-08-12,1647.0
1994-08-19,2478.0
1994-08-26,1683.0
1994-09-02,2041.0
1994-09-09,1727.0
1994-09-16,1426.0
1994-09-23,1539.0
1994-09-30,1727.0
1994-10-07,1529.0
1994-10-14,1710.0
1994-10-21,1252.0
1994-10-28,1379.0
1994-11-04,1642.0
1994-11-11,1858.0
1994-11-18,1909.0
1994-11-25,1559.0
1994-12-02,1441.0
1994-12-09,1985.0
1994-12-16,1096.0
1994-12-23,1653.0
1994-12-30,1379.0
1995-01-06,1423.0
1995-01-13,1654.0
1995-01-20,1339.0
1995-01-27,1257.0
1995-02-03,1046.0
1995-02-10,1678.0
1995-02-17,1565.0
1995-02-24,1922.0
1995-03-03,1339.0
1995-03-10,1687.0
1995-03-17,1465.0
1995-03-24,1421.0
1995-03-31,1187.0
1995-04-07,1503.0
1995-04-14,951.0
1995-04-21,1591.0
1995-04-28,1196.0
1995-05-05,996.0
1995-05-12,1443.0
1995-05-19,1652.0
1995-05-26,1685.0
1995-06-02,1512.0
1995-06-09,1213.0
1995-06-16,1639.0
1995-06-23,1626.0
1995-06-30,1528.0
1995-07-07,1284.0
1995-07-14,1844.0
1995-07-21,1568.0
1995-07-28,1961.0
1995-08-04,1629.0
1995-08-11,1171.0
1995-08-18,1671.0
1995-08-25,1407.0
1995-09-01,2034.0
1995-09-08,1572.0
1995-09-15,1221.0
1995-09-22,1391.0
1995-09-29,1675.0
1995-10-06,1304.0
1995-10-13,1833.0
1995-10-20,1513.0
1995-10-27,1263.0
1995-11-03,1238.0
1995-11-10,1706.0
1995-11-17,2014.0
1995-11-24,1566.0
1995-12-01,1221.0
1995-12-08,1874.0
1995-12-15,1549.0
1995-12-22,1652.0
1995-12-29,1468.0
1996-01-05,1307.0
1996-01-12,1952.0
1996-01-19,1977.0
1996-01-26,1924.0
1996-02-02,1886.0
1996-02-09,1923.0
1996-02-16,1565.0
1996-02-23,1522.0
1996-03-01,1973.0
1996-03-08,1438.0
1996-03-15,1782.0
1996-03-22,2014.0
1996-03-29,2049.0
1996-04-05,1781.0
1996-04-12,2156.0
1996-04-19,1638.0
1996-04-26,1716.0
1996-05-03,1553.0
1996-05-10,2246.0
1996-05-17,1607.0
1996-05-24,1914.0
1996-05-31,1689.0
1996-06-07,1819.0
1996-06-14,1526.0
1996-06-21,2061.0
1996-06-28,1602.0
1996-07-05,1453.0
1996-07-12,1779.0
1996-07-19,1541.0
1996-07-26,1606.0
1996-08-02,2163.0
1996-08-09,1305.0
