Date,Price
1990-04-02,128.0
1990-04-03,128.35
1990-04-04,128.35
1990-04-05,128.4
1990-04-06,128.75
1990-04-09,128.5
1990-04-10,128.25
1990-04-11,128.25
1990-04-12,128.6
1990-04-17,128.65
1990-04-18,128.75
1990-04-19,128.5
1990-04-20,128.75
1990-04-23,128.0
1990-04-24,127.7
1990-04-25,126.0
1990-04-26,123.25
1990-04-27,123.0
1990-04-30,122.25
1990-05-01,118.35
1990-05-02,118.6
1990-05-03,118.75
1990-05-04,120.15
1990-05-08,119.85
1990-05-09,117.65
1990-05-10,118.25
1990-05-11,118.1
1990-05-14,118.5
1990-05-15,119.25
1990-05-16,119.25
1990-05-17,118.2
1990-05-18,118.75
1990-05-21,122.75
1990-05-22,120.5
1990-05-23,121.75
1990-05-24,120.65
1990-05-25,120.75
1990-05-29,121.25
1990-05-30,120.25
1990-05-31,119.75
1990-06-01,118.75
1990-06-04,118.75
1990-06-05,117.5
1990-06-06,119.0
1990-06-07,117.25
1990-06-08,117.25
1990-06-11,117.35
1990-06-12,117.5
1990-06-13,117.25
1990-06-14,115.75
1990-06-15,115.25
1990-06-18,114.75
1990-06-19,114.75
1990-06-20,113.75
1990-06-21,114.35
1990-06-22,114.1
1990-06-25,114.0
1990-06-26,112.85
1990-06-27,112.75
1990-06-28,113.0
1990-06-29,113.35
1990-07-02,116.75
1990-07-03,116.25
1990-07-04,117.25
1990-07-05,116.3
1990-07-06,117.5
1990-07-09,117.5
1990-07-10,116.75
1990-07-11,116.75
1990-07-12,116.5
1990-07-13,116.75
1990-07-16,117.75
1990-07-17,117.25
1990-07-18,116.25
1990-07-19,116.75
1990-07-20,117.5
1990-07-23,117.75
1990-07-24,118.55
1990-07-25,117.25
1990-07-26,117.5
1990-07-27,117.0
1990-07-30,116.75
1990-07-31,116.5
1990-08-01,116.6
1990-08-02,116.75
1990-08-03,115.5
1990-08-06,114.5
1990-08-07,114.5
1990-08-08,114.75
1990-08-09,114.75
1990-08-10,114.75
1990-08-13,117.0
1990-08-14,118.5
1990-08-15,117.75
1990-08-16,117.25
1990-08-17,118.75
1990-08-20,118.25
1990-08-21,118.0
1990-08-22,117.75
1990-08-23,117.75
1990-08-24,116.5
1990-08-28,111.25
1990-08-29,112.75
1990-08-30,112.25
1990-08-31,111.75
1990-09-03,112.25
1990-09-04,112.0
1990-09-05,111.25
1990-09-06,111.4
1990-09-07,108.35
1990-09-10,106.25
1990-09-11,106.0
1990-09-12,105.0
1990-09-13,105.25
1990-09-14,105.4
1990-09-17,105.25
1990-09-18,106.25
1990-09-19,105.75
1990-09-20,105.5
1990-09-21,103.25
1990-09-24,101.25
1990-09-25,102.5
1990-09-26,102.0
1990-09-27,98.75
1990-09-28,97.75
1990-10-01,97.0
1990-10-02,98.35
1990-10-03,99.25
1990-10-04,98.25
1990-10-05,99.0
1990-10-08,100.25
1990-10-09,100.5
1990-10-10,100.0
1990-10-11,98.65
1990-10-12,93.5
1990-10-15,93.75
1990-10-16,90.25
1990-10-17,88.5
1990-10-18,89.5
1990-10-19,92.25
1990-10-22,93.25
1990-10-23,93.75
1990-10-24,95.4
1990-10-25,94.6
1990-10-26,94.35
1990-10-29,94.6
1990-10-30,95.25
1990-10-31,96.5
1990-11-01,95.5
1990-11-02,95.75
1990-11-05,94.0
1990-11-06,94.75
1990-11-07,94.5
1990-11-08,94.5
1990-11-09,93.25
1990-11-12,93.0
1990-11-13,94.25
1990-11-14,94.15
1990-11-15,93.2
1990-11-16,93.65
1990-11-19,93.25
1990-11-20,92.75
1990-11-21,93.0
1990-11-22,93.0
1990-11-23,94.0
1990-11-26,94.0
1990-11-27,94.3
1990-11-28,94.25
1990-11-29,94.1
1990-11-30,93.5
1990-12-03,92.25
1990-12-04,93.0
1990-12-05,93.0
1990-12-06,93.35
1990-12-07,92.95
1990-12-10,92.75
1990-12-11,93.0
1990-12-12,92.5
1990-12-13,90.5
1990-12-14,87.85
1990-12-17,87.6
1990-12-18,88.0
1990-12-19,88.75
1990-12-20,89.5
1990-12-21,89.0
1990-12-27,86.5
1990-12-28,82.95
1991-01-02,81.75
1991-01-03,82.25
1991-01-04,83.5
1991-01-07,83.75
1991-01-08,86.25
1991-01-09,86.0
1991-01-10,86.5
1991-01-11,87.75
1991-01-14,93.0
1991-01-15,89.75
1991-01-16,90.75
1991-01-17,89.25
1991-01-18,90.5
1991-01-21,91.25
1991-01-22,90.75
1991-01-23,88.25
1991-01-24,86.25
1991-01-25,87.85
1991-01-28,87.0
1991-01-29,87.75
1991-01-30,82.25
1991-01-31,83.35
1991-02-01,84.75
1991-02-04,85.75
1991-02-05,83.5
1991-02-06,83.5
1991-02-07,83.75
1991-02-08,85.25
1991-02-11,88.4
1991-02-12,86.75
1991-02-13,86.25
1991-02-14,87.25
1991-02-15,86.75
1991-02-18,86.0
1991-02-19,86.0
1991-02-20,85.0
1991-02-21,80.85
1991-02-22,79.25
1991-02-25,79.25
1991-02-26,80.5
1991-02-27,82.5
1991-02-28,83.25
1991-03-01,86.35
1991-03-04,86.5
1991-03-05,83.6
1991-03-06,83.35
1991-03-07,84.0
1991-03-08,86.75
1991-03-11,89.5
1991-03-12,85.75
1991-03-13,85.85
1991-03-14,86.5
1991-03-15,86.1
1991-03-18,85.5
1991-03-19,85.2
1991-03-20,87.25
1991-03-21,86.75
1991-03-22,88.0
1991-03-25,86.0
1991-03-26,84.25
1991-03-27,85.4
1991-03-28,88.0
1991-04-02,90.75
1991-04-03,92.75
1991-04-04,92.5
1991-04-05,93.35
1991-04-08,92.25
1991-04-09,93.5
1991-04-10,94.5
1991-04-11,94.75
1991-04-12,96.1
1991-04-15,96.75
1991-04-16,95.5
1991-04-17,96.25
1991-04-18,99.5
1991-04-19,96.55
1991-04-22,96.5
1991-04-23,101.25
1991-04-24,101.15
1991-04-25,100.75
1991-04-26,102.65
1991-04-29,100.25
1991-04-30,100.5
1991-05-01,100.5
1991-05-02,97.25
1991-05-03,96.55
1991-05-07,95.5
1991-05-08,95.75
1991-05-09,94.75
1991-05-10,94.75
1991-05-13,95.0
1991-05-14,94.8
1991-05-15,95.45
1991-05-16,95.0
1991-05-17,94.5
1991-05-20,94.0
1991-05-21,94.25
1991-05-22,94.5
1991-05-23,94.0
1991-05-24,93.65
1991-05-28,94.25
1991-05-29,94.25
1991-05-30,99.1
1991-05-31,100.5
1991-06-03,97.55
1991-06-04,96.25
1991-06-05,96.4
1991-06-06,96.0
1991-06-10,96.75
1991-06-11,97.5
1991-06-12,98.15
1991-06-13,96.25
1991-06-14,96.25
1991-06-17,96.1
1991-06-18,96.0
1991-06-19,98.0
1991-06-20,98.6
1991-06-21,99.0
1991-06-24,98.5
1991-06-25,97.5
1991-06-26,96.65
1991-06-27,95.25
1991-06-28,96.85
1991-07-01,97.65
1991-07-02,97.0
1991-07-03,96.75
1991-07-04,96.5
1991-07-05,96.75
1991-07-08,97.35
1991-07-09,96.5
1991-07-10,96.0
1991-07-11,95.0
1991-07-12,94.5
1991-07-15,95.0
1991-07-16,94.75
1991-07-17,94.85
1991-07-18,94.9
1991-07-19,95.15
1991-07-22,95.5
1991-07-23,95.75
1991-07-24,94.5
1991-07-25,93.75
1991-07-26,93.15
1991-07-29,91.75
1991-07-30,88.5
1991-07-31,87.25
1991-08-01,88.5
1991-08-02,86.35
1991-08-05,84.5
1991-08-06,85.75
1991-08-07,86.0
1991-08-08,86.25
1991-08-09,84.75
1991-08-12,84.5
1991-08-13,84.5
1991-08-14,82.0
1991-08-15,80.75
1991-08-16,78.75
1991-08-19,85.25
1991-08-20,81.0
1991-08-21,80.75
1991-08-22,81.5
1991-08-23,80.5
1991-08-27,80.65
1991-08-28,81.75
1991-08-29,82.25
1991-08-30,81.0
1991-09-02,81.5
1991-09-03,80.75
1991-09-04,81.65
1991-09-05,81.5
1991-09-06,81.0
1991-09-09,82.0
1991-09-10,82.0
1991-09-11,81.5
1991-09-12,81.75
1991-09-13,81.5
1991-09-16,81.5
1991-09-17,81.0
1991-09-18,81.75
1991-09-19,82.25
1991-09-20,82.0
1991-09-23,82.25
1991-09-24,82.75
1991-09-25,83.5
1991-09-26,83.75
1991-09-27,81.25
1991-09-30,82.25
1991-10-01,82.4
1991-10-02,82.5
1991-10-03,84.0
1991-10-04,84.0
1991-10-07,84.5
1991-10-08,83.75
1991-10-09,83.75
1991-10-10,86.0
1991-10-11,86.25
1991-10-14,88.0
1991-10-15,87.0
1991-10-16,85.5
1991-10-17,85.25
1991-10-18,85.5
1991-10-21,86.4
1991-10-22,86.0
1991-10-23,86.1
1991-10-24,85.65
1991-10-25,86.0
1991-10-28,85.9
1991-10-29,85.25
1991-10-30,85.9
1991-10-31,86.0
1991-11-01,86.25
1991-11-04,87.0
1991-11-05,87.0
1991-11-06,86.85
1991-11-07,87.1
1991-11-08,85.0
1991-11-11,85.5
1991-11-12,86.0
1991-11-13,86.0
1991-11-14,85.0
1991-11-15,84.25
