Date,Price
1990-04-02,127.65
1990-04-03,128.5
1990-04-04,128.0
1990-04-05,127.75
1990-04-06,128.5
1990-04-09,128.5
1990-04-10,128.25
1990-04-11,128.5
1990-04-12,128.95
1990-04-17,128.5
1990-04-18,128.35
1990-04-19,128.5
1990-04-20,128.35
1990-04-23,127.5
1990-04-24,127.1
1990-04-25,122.15
1990-04-26,123.25
1990-04-27,122.95
1990-04-30,117.0
1990-05-01,118.5
1990-05-02,118.6
1990-05-03,118.5
1990-05-04,120.6
1990-05-08,119.0
1990-05-09,117.75
1990-05-10,118.25
1990-05-11,118.25
1990-05-14,119.0
1990-05-15,118.65
1990-05-16,118.75
1990-05-17,118.4
1990-05-18,118.5
1990-05-21,122.5
1990-05-22,120.7
1990-05-23,119.75
1990-05-24,121.25
1990-05-25,121.25
1990-05-29,121.75
1990-05-30,120.0
1990-05-31,119.3
1990-06-01,118.5
1990-06-04,117.75
1990-06-05,117.5
1990-06-06,118.9
1990-06-07,117.0
1990-06-08,117.25
1990-06-11,117.45
1990-06-12,117.4
1990-06-13,116.3
1990-06-14,113.75
1990-06-15,115.0
1990-06-18,114.5
1990-06-19,115.0
1990-06-20,113.1
1990-06-21,114.1
1990-06-22,113.75
1990-06-25,114.25
1990-06-26,112.0
1990-06-27,112.75
1990-06-28,113.25
1990-06-29,114.25
1990-07-02,116.8
1990-07-03,116.0
1990-07-04,117.5
1990-07-05,115.75
1990-07-06,118.6
1990-07-09,117.5
1990-07-10,116.25
1990-07-11,116.75
1990-07-12,116.25
1990-07-13,116.75
1990-07-16,117.4
1990-07-17,116.5
1990-07-18,116.65
1990-07-19,117.2
1990-07-20,118.25
1990-07-23,118.7
1990-07-24,118.75
1990-07-25,117.35
1990-07-26,117.0
1990-07-27,117.25
1990-07-30,116.6
1990-07-31,116.75
1990-08-01,116.0
1990-08-02,116.5
1990-08-03,114.0
1990-08-06,114.25
1990-08-07,114.75
1990-08-08,114.5
1990-08-09,115.0
1990-08-10,115.5
1990-08-13,117.9
1990-08-14,118.5
1990-08-15,116.75
1990-08-16,116.35
1990-08-17,118.25
1990-08-20,117.5
1990-08-21,117.5
1990-08-22,117.25
1990-08-23,117.5
1990-08-24,115.35
1990-08-28,110.5
1990-08-29,112.0
1990-08-30,111.5
1990-08-31,111.75
1990-09-03,111.6
1990-09-04,111.3
1990-09-05,111.25
