Date,Price
1990-04-02,471.0
1990-04-03,475.8
1990-04-04,475.7
1990-04-05,481.75
1990-04-06,481.0
1990-04-09,481.25
1990-04-10,476.75
1990-04-11,476.0
1990-04-12,480.9
1990-04-17,478.4
1990-04-18,478.0
1990-04-19,480.75
1990-04-20,481.75
1990-04-23,483.25
1990-04-24,485.25
1990-04-25,480.75
1990-04-26,474.4
1990-04-27,473.6
1990-04-30,472.25
1990-05-01,473.25
1990-05-02,476.75
1990-05-03,478.15
1990-05-04,482.95
1990-05-08,482.25
1990-05-09,476.25
1990-05-10,481.75
1990-05-11,478.5
1990-05-14,483.25
1990-05-15,484.6
1990-05-16,486.6
1990-05-17,488.9
1990-05-18,488.6
1990-05-21,497.75
1990-05-22,496.85
1990-05-23,503.25
1990-05-24,497.25
1990-05-25,498.25
1990-05-29,499.75
1990-05-30,496.5
1990-05-31,492.5
1990-06-01,490.0
1990-06-04,484.65
1990-06-05,485.9
1990-06-06,491.75
1990-06-07,482.25
1990-06-08,485.0
1990-06-11,484.25
1990-06-12,487.25
1990-06-13,484.4
1990-06-14,476.0
1990-06-15,474.75
1990-06-18,476.25
1990-06-19,478.25
1990-06-20,473.0
1990-06-21,479.1
1990-06-22,477.1
1990-06-25,479.0
1990-06-26,480.35
1990-06-27,478.75
1990-06-28,479.7
1990-06-29,482.5
1990-07-02,487.0
1990-07-03,487.1
1990-07-04,488.75
1990-07-05,486.0
1990-07-06,484.75
1990-07-09,484.75
1990-07-10,482.1
1990-07-11,477.65
1990-07-12,469.0
1990-07-13,474.35
1990-07-16,477.4
1990-07-17,472.5
1990-07-18,470.9
1990-07-19,474.75
1990-07-20,475.5
1990-07-23,475.5
1990-07-24,482.1
1990-07-25,477.75
1990-07-26,478.75
1990-07-27,476.4
1990-07-30,475.85
1990-07-31,478.25
1990-08-01,485.15
1990-08-02,490.5
1990-08-03,484.0
1990-08-06,483.5
1990-08-07,485.25
1990-08-08,479.65
1990-08-09,480.5
1990-08-10,484.5
1990-08-13,490.0
1990-08-14,502.75
1990-08-15,496.25
1990-08-16,496.25
1990-08-17,504.25
1990-08-20,504.25
1990-08-21,501.0
1990-08-22,500.25
1990-08-23,504.5
1990-08-24,501.9
1990-08-28,488.5
1990-08-29,488.25
1990-08-30,484.5
1990-08-31,486.25
