Date,Primary Energy Exports
1973-01-15,0.125781
1973-02-15,0.120883
1973-03-15,0.13995
1973-04-15,0.194185
1973-05-15,0.196775
1973-06-15,0.178871
1973-07-15,0.164134
1973-08-15,0.191049
1973-09-15,0.146492
1973-10-15,0.207655
1973-11-15,0.183453
1973-12-15,0.183859
1974-01-15,0.121461
1974-02-15,0.164831
1974-03-15,0.132223
1974-04-15,0.186646
1974-05-15,0.217693
1974-06-15,0.225425
1974-07-15,0.200632
1974-08-15,0.19058
1974-09-15,0.169578
1974-10-15,0.246304
1974-11-15,0.225305
1974-12-15,0.122687
1975-01-15,0.162773
1975-02-15,0.171418
1975-03-15,0.199517
1975-04-15,0.208831
1975-05-15,0.234229
1975-06-15,0.215488
1975-07-15,0.172327
1975-08-15,0.203021
1975-09-15,0.168853
1975-10-15,0.16808
1975-11-15,0.238836
1975-12-15,0.179878
1976-01-15,0.133918
1976-02-15,0.130286
1976-03-15,0.148215
1976-04-15,0.203014
1976-05-15,0.193529
1976-06-15,0.222274
1976-07-15,0.1835
1976-08-15,0.164321
1976-09-15,0.197788
1976-10-15,0.200412
1976-11-15,0.214592
1976-12-15,0.179839
1977-01-15,0.100279
1977-02-15,0.127518
1977-03-15,0.136544
1977-04-15,0.195647
1977-05-15,0.210991
1977-06-15,0.208999
1977-07-15,0.195242
1977-08-15,0.165718
1977-09-15,0.192805
1977-10-15,0.186155
1977-11-15,0.171202
1977-12-15,0.16079
1978-01-15,0.076735
1978-02-15,0.056798
1978-03-15,0.064605
1978-04-15,0.132187
1978-05-15,0.181963
1978-06-15,0.21968
1978-07-15,0.160129
1978-08-15,0.176105
1978-09-15,0.183946
1978-10-15,0.222759
1978-11-15,0.236659
1978-12-15,0.208871
1979-01-15,0.174569
1979-02-15,0.15928
1979-03-15,0.241045
1979-04-15,0.233873
1979-05-15,0.250145
1979-06-15,0.250673
1979-07-15,0.265735
1979-08-15,0.259451
1979-09-15,0.218586
1979-10-15,0.28248
1979-11-15,0.261386
1979-12-15,0.25789
1980-01-15,0.225585
1980-02-15,0.208653
1980-03-15,0.262475
1980-04-15,0.285794
1980-05-15,0.343299
1980-06-15,0.358751
1980-07-15,0.322017
1980-08-15,0.311891
1980-09-15,0.329056
1980-10-15,0.369312
1980-11-15,0.34119
1980-12-15,0.33675
1981-01-15,0.260909
1981-02-15,0.276662
1981-03-15,0.369183
1981-04-15,0.324137
1981-05-15,0.273023
1981-06-15,0.245397
1981-07-15,0.392644
1981-08-15,0.41954
1981-09-15,0.410856
1981-10-15,0.465502
1981-11-15,0.439771
1981-12-15,0.429619
1982-01-15,0.316441
1982-02-15,0.373937
1982-03-15,0.440048
1982-04-15,0.425018
1982-05-15,0.417923
1982-06-15,0.414798
1982-07-15,0.383841
1982-08-15,0.356374
1982-09-15,0.374181
1982-10-15,0.436056
1982-11-15,0.348893
1982-12-15,0.320089
1983-01-15,0.299176
1983-02-15,0.262163
1983-03-15,0.316061
1983-04-15,0.310203
1983-05-15,0.343613
1983-06-15,0.331364
1983-07-15,0.271255
1983-08-15,0.34676
1983-09-15,0.322919
1983-10-15,0.323607
1983-11-15,0.277961
1983-12-15,0.287847
1984-01-15,0.244738
1984-02-15,0.217414
1984-03-15,0.313676
1984-04-15,0.324792
1984-05-15,0.363003
1984-06-15,0.364921
1984-07-15,0.324437
1984-08-15,0.357832
1984-09-15,0.353487
1984-10-15,0.293857
1984-11-15,0.268968
1984-12-15,0.359021
1985-01-15,0.303303
1985-02-15,0.30413
1985-03-15,0.311093
1985-04-15,0.32678
1985-05-15,0.378169
1985-06-15,0.337928
1985-07-15,0.324699
1985-08-15,0.416556
1985-09-15,0.362598
1985-10-15,0.362454
1985-11-15,0.403539
1985-12-15,0.36493
1986-01-15,0.31788
1986-02-15,0.285113
1986-03-15,0.305316
1986-04-15,0.376285
1986-05-15,0.362502
1986-06-15,0.313467
1986-07-15,0.336621
1986-08-15,0.372569
1986-09-15,0.34579
1986-10-15,0.348583
1986-11-15,0.32966
1986-12-15,0.327693
1987-01-15,0.279001
1987-02-15,0.288662
1987-03-15,0.309288
1987-04-15,0.321842
1987-05-15,0.298087
1987-06-15,0.317274
1987-07-15,0.304889
1987-08-15,0.331515
1987-09-15,0.321435
1987-10-15,0.29986
1987-11-15,0.327548
1987-12-15,0.412549
1988-01-15,0.284978
1988-02-15,0.272704
1988-03-15,0.347037
1988-04-15,0.361577
1988-05-15,0.36761
1988-06-15,0.388899
1988-07-15,0.376724
1988-08-15,0.402504
1988-09-15,0.393352
1988-10-15,0.378123
1988-11-15,0.357231
1988-12-15,0.435713
1989-01-15,0.3138
1989-02-15,0.331006
1989-03-15,0.393816
1989-04-15,0.397376
1989-05-15,0.412071
1989-06-15,0.436451
1989-07-15,0.319511
1989-08-15,0.40208
1989-09-15,0.382094
1989-10-15,0.408364
1989-11-15,0.444459
1989-12-15,0.41987
1990-01-15,0.344036
1990-02-15,0.312469
1990-03-15,0.405798
1990-04-15,0.370383
1990-05-15,0.395314
1990-06-15,0.398404
1990-07-15,0.376414
1990-08-15,0.427652
1990-09-15,0.429923
1990-10-15,0.411267
1990-11-15,0.452523
1990-12-15,0.428301
1991-01-15,0.390709
1991-02-15,0.459208
1991-03-15,0.390163
1991-04-15,0.321809
1991-05-15,0.480037
1991-06-15,0.414046
1991-07-15,0.448328
1991-08-15,0.442335
1991-09-15,0.426834
1991-10-15,0.424921
1991-11-15,0.457316
1991-12-15,0.485261
1992-01-15,0.448024
1992-02-15,0.362809
1992-03-15,0.407686
1992-04-15,0.408689
1992-05-15,0.42779
1992-06-15,0.418893
1992-07-15,0.436025
1992-08-15,0.361507
1992-09-15,0.411916
1992-10-15,0.377684
1992-11-15,0.421614
1992-12-15,0.454305
1993-01-15,0.389729
1993-02-15,0.356372
1993-03-15,0.337857
1993-04-15,0.33444
1993-05-15,0.368658
1993-06-15,0.395983
1993-07-15,0.366057
1993-08-15,0.313203
1993-09-15,0.330493
1993-10-15,0.336807
1993-11-15,0.313287
1993-12-15,0.383788
1994-01-15,0.301016
1994-02-15,0.268122
1994-03-15,0.342258
1994-04-15,0.29098
1994-05-15,0.315409
1994-06-15,0.364898
1994-07-15,0.323213
1994-08-15,0.354255
1994-09-15,0.35783
1994-10-15,0.352528
1994-11-15,0.355634
1994-12-15,0.409139
1995-01-15,0.350851
1995-02-15,0.337213
1995-03-15,0.371297
1995-04-15,0.375561
1995-05-15,0.3813
1995-06-15,0.385814
1995-07-15,0.351448
1995-08-15,0.359064
1995-09-15,0.362921
1995-10-15,0.390446
1995-11-15,0.384029
1995-12-15,0.445947
1996-01-15,0.382039
1996-02-15,0.367855
1996-03-15,0.350848
1996-04-15,0.373202
1996-05-15,0.371114
1996-06-15,0.380941
1996-07-15,0.389241
1996-08-15,0.375187
1996-09-15,0.417916
1996-10-15,0.41346
1996-11-15,0.401802
1996-12-15,0.388943
1997-01-15,0.390121
1997-02-15,0.330234
1997-03-15,0.36635
1997-04-15,0.354531
1997-05-15,0.35721
1997-06-15,0.354161
1997-07-15,0.371342
1997-08-15,0.434819
1997-09-15,0.374964
1997-10-15,0.403295
1997-11-15,0.351987
1997-12-15,0.404382
1998-01-15,0.404923
1998-02-15,0.314846
1998-03-15,0.357569
1998-04-15,0.368491
1998-05-15,0.395844
1998-06-15,0.366914
1998-07-15,0.362567
1998-08-15,0.328791
1998-09-15,0.341731
1998-10-15,0.347724
1998-11-15,0.302757
1998-12-15,0.344582
1999-01-15,0.291152
1999-02-15,0.239285
1999-03-15,0.274649
1999-04-15,0.342861
1999-05-15,0.291118
1999-06-15,0.30918
1999-07-15,0.31104
1999-08-15,0.324306
1999-09-15,0.298718
1999-10-15,0.334303
1999-11-15,0.311809
1999-12-15,0.340371
2000-01-15,0.318532
2000-02-15,0.262365
2000-03-15,0.360495
2000-04-15,0.303161
2000-05-15,0.319377
2000-06-15,0.316959
2000-07-15,0.308008
2000-08-15,0.377362
2000-09-15,0.318828
2000-10-15,0.368946
2000-11-15,0.371588
2000-12-15,0.336045
2001-01-15,0.343018
2001-02-15,0.281421
2001-03-15,0.286021
2001-04-15,0.310305
2001-05-15,0.35224
2001-06-15,0.299518
2001-07-15,0.275281
2001-08-15,0.334294
2001-09-15,0.287774
2001-10-15,0.310511
2001-11-15,0.325163
2001-12-15,0.325564
2002-01-15,0.287616
2002-02-15,0.28462
2002-03-15,0.262905
2002-04-15,0.288512
2002-05-15,0.290081
2002-06-15,0.304092
2002-07-15,0.266196
2002-08-15,0.338636
2002-09-15,0.296349
2002-10-15,0.328264
2002-11-15,0.308158
2002-12-15,0.352811
2003-01-15,0.373346
2003-02-15,0.294867
2003-03-15,0.308318
2003-04-15,0.327025
2003-05-15,0.351413
2003-06-15,0.346524
2003-07-15,0.335838
2003-08-15,0.331186
2003-09-15,0.32076
2003-10-15,0.345301
2003-11-15,0.335859
2003-12-15,0.342692
2004-01-15,0.293786
2004-02-15,0.305192
2004-03-15,0.3814
2004-04-15,0.403009
2004-05-15,0.383469
2004-06-15,0.38284
2004-07-15,0.364962
2004-08-15,0.368169
2004-09-15,0.355972
2004-10-15,0.343462
2004-11-15,0.343311
2004-12-15,0.425789
2005-01-15,0.359447
