Date,Primary Energy Imports
1973-01-15,1.17308
1973-02-15,1.168005
1973-03-15,1.309473
1973-04-15,1.085169
1973-05-15,1.162804
1973-06-15,1.129614
1973-07-15,1.216246
1973-08-15,1.297848
1973-09-15,1.226145
1973-10-15,1.315774
1973-11-15,1.321809
1973-12-15,1.207179
1974-01-15,1.083235
1974-02-15,0.955624
1974-03-15,1.064548
1974-04-15,1.156477
1974-05-15,1.280713
1974-06-15,1.211565
1974-07-15,1.28033
1974-08-15,1.260397
1974-09-15,1.154422
1974-10-15,1.232624
1974-11-15,1.305091
1974-12-15,1.31925
1975-01-15,1.347568
1975-02-15,1.108542
1975-03-15,1.140333
1975-04-15,0.97805
1975-05-15,1.040395
1975-06-15,1.033375
1975-07-15,1.168491
1975-08-15,1.226702
1975-09-15,1.275391
1975-10-15,1.235454
1975-11-15,1.215872
1975-12-15,1.262216
1976-01-15,1.3127
1976-02-15,1.229336
1976-03-15,1.305794
1976-04-15,1.253496
1976-05-15,1.236985
1976-06-15,1.399163
1976-07-15,1.511982
1976-08-15,1.429463
1976-09-15,1.476783
1976-10-15,1.467472
1976-11-15,1.508602
1976-12-15,1.628283
1977-01-15,1.710226
1977-02-15,1.738127
1977-03-15,1.809005
1977-04-15,1.623215
1977-05-15,1.647862
1977-06-15,1.653446
1977-07-15,1.732038
1977-08-15,1.642039
1977-09-15,1.593901
1977-10-15,1.619758
1977-11-15,1.525978
1977-12-15,1.652535
1978-01-15,1.609273
1978-02-15,1.42092
1978-03-15,1.646151
1978-04-15,1.466543
1978-05-15,1.479371
1978-06-15,1.512571
1978-07-15,1.600652
1978-08-15,1.601528
1978-09-15,1.682186
1978-10-15,1.616595
1978-11-15,1.666014
1978-12-15,1.804366
1979-01-15,1.769279
1979-02-15,1.515101
1979-03-15,1.708567
1979-04-15,1.50324
1979-05-15,1.587866
1979-06-15,1.581381
1979-07-15,1.669406
1979-08-15,1.674783
1979-09-15,1.52275
1979-10-15,1.694041
1979-11-15,1.551628
1979-12-15,1.681775
1980-01-15,1.679961
1980-02-15,1.458972
1980-03-15,1.461064
1980-04-15,1.32502
1980-05-15,1.266758
1980-06-15,1.27309
1980-07-15,1.195105
1980-08-15,1.18835
1980-09-15,1.154368
1980-10-15,1.233094
1980-11-15,1.212647
1980-12-15,1.3478
1981-01-15,1.327837
1981-02-15,1.193052
1981-03-15,1.173761
1981-04-15,1.066492
