Date,Primary Energy Net Imports
1973-01-15,1.047299
1973-02-15,1.047122
1973-03-15,1.169523
1973-04-15,0.890984
1973-05-15,0.966029
1973-06-15,0.950743
1973-07-15,1.052112
1973-08-15,1.106799
1973-09-15,1.079652
1973-10-15,1.108119
1973-11-15,1.138356
1973-12-15,1.023319
1974-01-15,0.961774
1974-02-15,0.790793
1974-03-15,0.932325
1974-04-15,0.969831
1974-05-15,1.06302
1974-06-15,0.986139
1974-07-15,1.079698
1974-08-15,1.069817
1974-09-15,0.984844
1974-10-15,0.98632
1974-11-15,1.079786
1974-12-15,1.196563
1975-01-15,1.184795
1975-02-15,0.937124
1975-03-15,0.940816
1975-04-15,0.76922
1975-05-15,0.806166
1975-06-15,0.817887
1975-07-15,0.996164
1975-08-15,1.023681
1975-09-15,1.106538
1975-10-15,1.067373
1975-11-15,0.977036
1975-12-15,1.082337
1976-01-15,1.178782
1976-02-15,1.09905
1976-03-15,1.157579
1976-04-15,1.050483
1976-05-15,1.043456
1976-06-15,1.176889
1976-07-15,1.328482
1976-08-15,1.265142
1976-09-15,1.278995
1976-10-15,1.267061
1976-11-15,1.29401
1976-12-15,1.448444
1977-01-15,1.609947
1977-02-15,1.610609
1977-03-15,1.672461
1977-04-15,1.427568
1977-05-15,1.436871
1977-06-15,1.444448
1977-07-15,1.536797
1977-08-15,1.47632
1977-09-15,1.401096
1977-10-15,1.433603
1977-11-15,1.354776
1977-12-15,1.491745
1978-01-15,1.532539
1978-02-15,1.364122
1978-03-15,1.581546
1978-04-15,1.334356
1978-05-15,1.297408
1978-06-15,1.292891
1978-07-15,1.440523
1978-08-15,1.425422
1978-09-15,1.49824
1978-10-15,1.393835
1978-11-15,1.429356
1978-12-15,1.595495
1979-01-15,1.594709
1979-02-15,1.355821
1979-03-15,1.467522
1979-04-15,1.269367
1979-05-15,1.337721
1979-06-15,1.330708
1979-07-15,1.40367
1979-08-15,1.415332
1979-09-15,1.304164
1979-10-15,1.411561
1979-11-15,1.290242
1979-12-15,1.423885
1980-01-15,1.454376
