Date,Primary Energy Stock Change and Other
1973-01-15,0.771858
1973-02-15,0.390129
1973-03-15,-0.06764
1973-04-15,-0.110067
1973-05-15,-0.305335
1973-06-15,-0.315356
1973-07-15,-0.291695
1973-08-15,-0.39578
1973-09-15,-0.430371
1973-10-15,-0.337003
1973-11-15,0.143584
1973-12-15,0.489137
1974-01-15,0.458905
1974-02-15,0.463145
1974-03-15,0.035739
1974-04-15,-0.38581
1974-05-15,-0.66603
1974-06-15,-0.389243
1974-07-15,-0.334259
1974-08-15,-0.314204
1974-09-15,-0.364592
1974-10-15,-0.169305
1974-11-15,0.50007
1974-12-15,0.68555
1975-01-15,0.593424
1975-02-15,0.341812
1975-03-15,0.211704
1975-04-15,-0.057411
1975-05-15,-0.531911
1975-06-15,-0.487975
1975-07-15,-0.291195
1975-08-15,-0.341322
1975-09-15,-0.595252
1975-10-15,-0.388816
1975-11-15,-0.127678
1975-12-15,0.613458
1976-01-15,0.939402
1976-02-15,0.322967
1976-03-15,-0.100949
1976-04-15,-0.256462
1976-05-15,-0.420022
1976-06-15,-0.513435
1976-07-15,-0.234563
1976-08-15,-0.382852
1976-09-15,-0.618356
1976-10-15,-0.18424
1976-11-15,0.358976
1976-12-15,0.917189
1977-01-15,1.308942
1977-02-15,0.276578
1977-03-15,-0.578259
1977-04-15,-0.6107
1977-05-15,-0.740491
1977-06-15,-0.571927
1977-07-15,-0.330069
1977-08-15,-0.364124
1977-09-15,-0.663427
1977-10-15,-0.577906
1977-11-15,-0.270563
1977-12-15,1.17278
1978-01-15,1.551345
1978-02-15,1.381459
1978-03-15,0.352515
1978-04-15,-0.497
1978-05-15,-0.617937
1978-06-15,-0.614643
1978-07-15,-0.437914
1978-08-15,-0.459619
1978-09-15,-0.61006
1978-10-15,-0.558751
1978-11-15,-0.251623
1978-12-15,0.422408
1979-01-15,1.004923
1979-02-15,0.973569
1979-03-15,0.007815
1979-04-15,-0.398909
1979-05-15,-0.620881
1979-06-15,-0.651859
1979-07-15,-0.302246
1979-08-15,-0.584493
1979-09-15,-0.584935
1979-10-15,-0.672622
1979-11-15,-0.182937
1979-12-15,0.369039
1980-01-15,0.302537
1980-02-15,0.433663
1980-03-15,-0.012339
1980-04-15,-0.472372
1980-05-15,-0.644948
1980-06-15,-0.572578
1980-07-15,-0.125692
1980-08-15,-0.290075
1980-09-15,-0.289239
1980-10-15,-0.179291
1980-11-15,0.081628
1980-12-15,0.538219
1981-01-15,0.914377
1981-02-15,0.192008
1981-03-15,-0.086788
1981-04-15,0.331906
1981-05-15,0.156835
1981-06-15,-0.184218
1981-07-15,-0.273337
1981-08-15,-0.509471
1981-09-15,-0.692172
1981-10-15,-0.448601
