Date,Price
1990-04-02,4.9375
1990-04-03,5.001
1990-04-04,5.01
1990-04-05,5.1475
1990-04-06,5.179
1990-04-09,5.1435
1990-04-10,5.115
1990-04-11,5.085
1990-04-12,5.1275
1990-04-17,5.055
1990-04-18,5.0925
1990-04-19,5.091
1990-04-20,5.0775
1990-04-23,5.08
1990-04-24,5.1
1990-04-25,5.023
1990-04-26,4.96
1990-04-27,4.96
1990-04-30,4.936
1990-05-01,4.9525
1990-05-02,4.996
1990-05-03,5.01
1990-05-04,5.06
1990-05-08,5.0325
1990-05-09,4.9975
1990-05-10,5.0325
1990-05-11,5.049
1990-05-14,5.0515
1990-05-15,5.032
1990-05-16,5.02
1990-05-17,5.0275
1990-05-18,5.04
1990-05-21,5.1335
1990-05-22,5.125
1990-05-23,5.095
1990-05-24,5.2185
1990-05-25,5.225
1990-05-29,5.236
1990-05-30,5.13
1990-05-31,5.07
1990-06-01,5.074
1990-06-04,5.05
1990-06-05,5.05
1990-06-06,5.091
1990-06-07,4.986
1990-06-08,5.0125
1990-06-11,4.995
1990-06-12,5.01
1990-06-13,4.99
1990-06-14,4.91
1990-06-15,4.8375
1990-06-18,4.835
1990-06-19,4.8385
1990-06-20,4.8225
1990-06-21,4.8375
1990-06-22,4.822
1990-06-25,4.8425
1990-06-26,4.804
1990-06-27,4.811
1990-06-28,4.825
1990-06-29,4.84
1990-07-02,4.9075
1990-07-03,4.9575
1990-07-04,4.935
1990-07-05,4.8985
1990-07-06,4.88
1990-07-09,4.88
1990-07-10,4.8
1990-07-11,4.8125
1990-07-12,4.826
1990-07-13,4.896
1990-07-16,4.916
1990-07-17,4.85
1990-07-18,4.827
1990-07-19,4.881
1990-07-20,4.865
1990-07-23,4.882
1990-07-24,4.9
1990-07-25,4.874
1990-07-26,4.8525
1990-07-27,4.8365
1990-07-30,4.83
1990-07-31,4.855
1990-08-01,4.8125
1990-08-02,4.9325
1990-08-03,4.826
1990-08-06,4.875
1990-08-07,4.931
1990-08-08,4.872
1990-08-09,4.8825
1990-08-10,4.94
1990-08-13,5.085
1990-08-14,5.2015
1990-08-15,5.1325
1990-08-16,5.065
1990-08-17,5.21
1990-08-20,5.201
1990-08-21,5.16
1990-08-22,5.1165
1990-08-23,5.216
1990-08-24,5.134
1990-08-28,4.92
1990-08-29,4.86
1990-08-30,4.8375
