Date,Total Fossil Fuels Consumption
1973-01-15,6.747651
1973-02-15,6.163095
1973-03-15,6.044647
1973-04-15,5.493184
1973-05-15,5.613551
1973-06-15,5.347479
1973-07-15,5.504556
1973-08-15,5.748879
1973-09-15,5.376782
1973-10-15,5.7653
1973-11-15,6.08844
1973-12-15,6.388515
1974-01-15,6.378043
1974-02-15,5.820458
1974-03-15,5.845649
1974-04-15,5.355618
1974-05-15,5.359907
1974-06-15,5.150392
1974-07-15,5.458003
1974-08-15,5.488069
1974-09-15,5.230848
1974-10-15,5.713389
1974-11-15,5.757535
1974-12-15,6.314029
1975-01-15,6.508066
1975-02-15,5.658866
1975-03-15,5.794307
1975-04-15,5.244039
1975-05-15,4.917011
1975-06-15,4.881923
1975-07-15,5.099561
1975-08-15,5.199413
1975-09-15,4.996158
1975-10-15,5.377048
1975-11-15,5.309492
1975-12-15,6.337521
1976-01-15,6.710216
1976-02-15,5.836128
1976-03-15,5.807521
1976-04-15,5.334664
1976-05-15,5.243322
1976-06-15,5.236508
1976-07-15,5.40514
1976-08-15,5.367256
1976-09-15,5.18912
1976-10-15,5.681201
1976-11-15,6.197897
1976-12-15,7.0619
1977-01-15,7.230327
1977-02-15,6.134899
1977-03-15,5.97723
1977-04-15,5.409177
1977-05-15,5.413653
1977-06-15,5.512801
1977-07-15,5.618804
1977-08-15,5.714704
1977-09-15,5.535869
1977-10-15,5.72095
1977-11-15,5.900695
1977-12-15,6.781158
1978-01-15,6.994146
1978-02-15,6.416481
1978-03-15,6.280715
1978-04-15,5.537677
1978-05-15,5.63302
1978-06-15,5.469015
1978-07-15,5.629409
1978-08-15,5.801865
1978-09-15,5.446963
1978-10-15,5.788479
1978-11-15,6.02842
1978-12-15,6.783142
1979-01-15,7.336166
1979-02-15,6.732512
1979-03-15,6.42199
1979-04-15,5.635417
1979-05-15,5.688216
1979-06-15,5.520908
1979-07-15,5.619578
1979-08-15,5.814576
1979-09-15,5.431098
1979-10-15,5.911981
