Date,Total Primary Energy Production
1973-01-15,5.404715
1973-02-15,5.155115
1973-03-15,5.419556
1973-04-15,5.160812
1973-05-15,5.411246
1973-06-15,5.167296
1973-07-15,5.191492
1973-08-15,5.480638
1973-09-15,5.124234
1973-10-15,5.403745
1973-11-15,5.237093
1973-12-15,5.374447
1974-01-15,5.483364
1974-02-15,5.060362
1974-03-15,5.402702
1974-04-15,5.277046
1974-05-15,5.467495
1974-06-15,5.045352
1974-07-15,5.239915
1974-08-15,5.259889
1974-09-15,5.090946
1974-10-15,5.365003
1974-11-15,4.65569
1974-12-15,4.960546
1975-01-15,5.277898
1975-02-15,4.890059
1975-03-15,5.230962
1975-04-15,5.086106
1975-05-15,5.217412
1975-06-15,5.105715
1975-07-15,4.964138
1975-08-15,5.061959
1975-09-15,4.987107
1975-10-15,5.230146
1975-11-15,5.001053
1975-12-15,5.230896
1976-01-15,5.19414
1976-02-15,4.971436
1976-03-15,5.335003
1976-04-15,5.061299
1976-05-15,5.169888
1976-06-15,5.16109
1976-07-15,4.930762
1976-08-15,5.088436
1976-09-15,5.07888
1976-10-15,5.161777
1976-11-15,5.07694
1976-12-15,5.292846
1977-01-15,4.933563
1977-02-15,4.767677
1977-03-15,5.479659
1977-04-15,5.162437
1977-05-15,5.301077
1977-06-15,5.213369
1977-07-15,4.989057
1977-08-15,5.188426
1977-09-15,5.342555
1977-10-15,5.416721
1977-11-15,5.401081
1977-12-15,4.777722
1978-01-15,4.637601
1978-02-15,4.3068
1978-03-15,5.031442
1978-04-15,5.332575
1978-05-15,5.658523
1978-06-15,5.471656
1978-07-15,5.337581
1978-08-15,5.530277
1978-09-15,5.199372
1978-10-15,5.590153
1978-11-15,5.507736
1978-12-15,5.456588
1979-01-15,5.492573
1979-02-15,5.080815
1979-03-15,5.675084
1979-04-15,5.416962
1979-05-15,5.629804
1979-06-15,5.464221
1979-07-15,5.175111
1979-08-15,5.662156
1979-09-15,5.333679
1979-10-15,5.804281
1979-11-15,5.571737
1979-12-15,5.544708
1980-01-15,5.808102
1980-02-15,5.439163
1980-03-15,5.835658
1980-04-15,5.591598
1980-05-15,5.728859
1980-06-15,5.530702
1980-07-15,5.388052
1980-08-15,5.477215
1980-09-15,5.434372
1980-10-15,5.632099
1980-11-15,5.467152
1980-12-15,5.814526
1981-01-15,5.657948
1981-02-15,5.37611
1981-03-15,5.88842
1981-04-15,4.800945
1981-05-15,4.943181
1981-06-15,5.402967
1981-07-15,5.752973
1981-08-15,5.928355
1981-09-15,5.740055
1981-10-15,5.897764
1981-11-15,5.623842
1981-12-15,5.896682
1982-01-15,5.717164
1982-02-15,5.441978
1982-03-15,6.064058
1982-04-15,5.62896
1982-05-15,5.622018
1982-06-15,5.54507
1982-07-15,5.39141
1982-08-15,5.589074
1982-09-15,5.328563
1982-10-15,5.461999
1982-11-15,5.308096
1982-12-15,5.428255
1983-01-15,5.538015
1983-02-15,5.05439
1983-03-15,5.498964
1983-04-15,5.23994
1983-05-15,5.313155
1983-06-15,5.203508
1983-07-15,5.155909
1983-08-15,5.524655
1983-09-15,5.295724
1983-10-15,5.454585
1983-11-15,5.354621
1983-12-15,5.432865
1984-01-15,5.862227
1984-02-15,5.613797
1984-03-15,5.935904
1984-04-15,5.642434
1984-05-15,5.940699
1984-06-15,5.668685
1984-07-15,5.778721
1984-08-15,6.086219
1984-09-15,5.67677
1984-10-15,5.548527
1984-11-15,5.389197
1984-12-15,5.656405
1985-01-15,5.808399
1985-02-15,5.412689
1985-03-15,5.840459
1985-04-15,5.599237
1985-05-15,5.754526
1985-06-15,5.504928
1985-07-15,5.519414
1985-08-15,5.702836
1985-09-15,5.494752
1985-10-15,5.736249
1985-11-15,5.451384
1985-12-15,5.836425
1986-01-15,6.012402
1986-02-15,5.460015
1986-03-15,5.850002
1986-04-15,5.526781
1986-05-15,5.588407
1986-06-15,5.396746
1986-07-15,5.429051
1986-08-15,5.547289
1986-09-15,5.37061
1986-10-15,5.633734
1986-11-15,5.45374
1986-12-15,5.761479
1987-01-15,5.870465
1987-02-15,5.363363
1987-03-15,5.764016
1987-04-15,5.445351
1987-05-15,5.487331
1987-06-15,5.484367
1987-07-15,5.429708
1987-08-15,5.679521
1987-09-15,5.572598
1987-10-15,5.820707
1987-11-15,5.660598
1987-12-15,5.92836
1988-01-15,5.918824
1988-02-15,5.646934
1988-03-15,6.021131
1988-04-15,5.575924
1988-05-15,5.661535
1988-06-15,5.581993
1988-07-15,5.52114
1988-08-15,5.951295
1988-09-15,5.63778
1988-10-15,5.739237
1988-11-15,5.753552
1988-12-15,5.880234
1989-01-15,5.998694
1989-02-15,5.412509
1989-03-15,6.006263
1989-04-15,5.590866
1989-05-15,5.863266
1989-06-15,5.650622
1989-07-15,5.512602
1989-08-15,6.070142
1989-09-15,5.68056
1989-10-15,5.893537
1989-11-15,5.871472
1989-12-15,5.73397
1990-01-15,6.273822
1990-02-15,5.694479
1990-03-15,6.143918
1990-04-15,5.703128
1990-05-15,5.870706
1990-06-15,5.708996
1990-07-15,5.764701
1990-08-15,6.084557
1990-09-15,5.647338
1990-10-15,6.069744
1990-11-15,5.863704
1990-12-15,5.84245
1991-01-15,6.211227
1991-02-15,5.647312
1991-03-15,6.022461
1991-04-15,5.658384
1991-05-15,5.79378
1991-06-15,5.642066
1991-07-15,5.827917
1991-08-15,6.016604
1991-09-15,5.720241
1991-10-15,6.02645
1991-11-15,5.777706
1991-12-15,5.976895
1992-01-15,6.206216
1992-02-15,5.655062
1992-03-15,5.866835
1992-04-15,5.630726
1992-05-15,5.692585
1992-06-15,5.700248
1992-07-15,5.846056
1992-08-15,5.87367
1992-09-15,5.700778
1992-10-15,5.920795
1992-11-15,5.754734
1992-12-15,6.066714
1993-01-15,5.992857
1993-02-15,5.433769
1993-03-15,5.92529
1993-04-15,5.590422
1993-05-15,5.618395
1993-06-15,5.662567
1993-07-15,5.529209
1993-08-15,5.685502
1993-09-15,5.573834
1993-10-15,5.703149
1993-11-15,5.669721
1993-12-15,5.887936
1994-01-15,5.865754
1994-02-15,5.511962
1994-03-15,6.182228
1994-04-15,5.775212
1994-05-15,5.811297
1994-06-15,5.806104
1994-07-15,5.818978
1994-08-15,6.145606
1994-09-15,5.815577
1994-10-15,5.846357
1994-11-15,5.928766
1994-12-15,6.175195
1995-01-15,6.135864
1995-02-15,5.584868
1995-03-15,6.116988
1995-04-15,5.70105
1995-05-15,5.913109
1995-06-15,5.861459
1995-07-15,5.936468
1995-08-15,6.083948
1995-09-15,5.851336
1995-10-15,6.001297
1995-11-15,5.934589
1995-12-15,6.008133
1996-01-15,6.059141
1996-02-15,5.79669
1996-03-15,6.189331
1996-04-15,5.926717
1996-05-15,6.090304
1996-06-15,5.947811
1996-07-15,6.143928
1996-08-15,6.270734
